date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,31308888,58882524,47239625,51657940,48572456,91735622,,,27720793,22595854
08/1963,31182774,58898583,47627656,51202440,48466483,90898106,,,27533999,22846873
09/1963,32710339,61353799,49897695,54128838,51327768,94910924,,,29076836,23607225
10/1963,31592050,61301611,48039991,54562558,50721026,93367765,,,28394494,22817830
11/1963,31716365,62817532,49864649,56211225,55074663,93978142,,,28675374,22645207
12/1963,30989829,64017674,49219677,55320090,52195690,91898187,,,28531766,22257846
01/1964,31532871,65766955,51323088,57324259,51486956,93705671,,,29574312,22425606
02/1964,32178620,67505582,53087403,58753404,53933340,95797617,,,30164950,23229405
03/1964,32795832,68541659,53260365,60115559,54306201,97884450,,,30721975,23632670
04/1964,33385068,68799488,54113936,61358698,55190713,99377327,,,31405084,24189484
05/1964,33389631,69783961,54222432,60372708,56468523,99322300,,,31397549,24223354
06/1964,33466173,69821394,54259591,62128247,57648201,100222195,,,31670986,24666873
07/1964,68267537,40514545,49809141,80694616,27050127,109505034,,,33685404,37262662
08/1964,67521753,41366084,50070494,84193474,27421015,112550018,,,34701301,37895744
09/1964,66091213,40716612,48828726,84023836,27096747,110680284,,,34090438,36780544
10/1964,66806636,42207053,49882824,86813589,27918583,114356404,,,35255065,37501882
11/1964,66496678,42702470,49302757,86936909,28124970,114602411,,,36731556,38519593
12/1964,64892167,42618608,49823294,85938503,27940065,112571322,,,37378017,38538006
01/1965,68037125,42982942,50313851,87352902,27916387,112618712,,,36980302,38552708
02/1965,69258560,45463604,53507092,89892782,29264391,117179640,,,38159319,38995527
03/1965,70053009,45839298,54363996,89316875,29615910,117386446,,,37669138,38393643
04/1965,69030842,45315741,54330712,88830975,29263115,115968135,,,36909389,37209317
05/1965,71603205,46739507,57181639,93568828,30268261,117987328,,,37910472,37543646
06/1965,72303196,46270788,56636192,91046114,29724931,117516782,,,38172433,37008511
07/1965,39583938,81000662,52151000,32568485,98831210,123229638,,,29722363,14826143
08/1965,40082911,80983616,53899995,33651647,98966344,125727921,,,30474459,15346447
09/1965,41032832,81831699,56034733,35073231,100121879,129453459,,,31490886,16118787
10/1965,41824855,84090099,57686515,37313341,103409033,132349037,,,32495577,16677242
11/1965,42814756,84231663,59477371,38435859,107120481,136864692,,,33892703,17066807
12/1965,42873452,82561595,60423712,38736988,104631623,136953955,,,33406830,17914374
01/1966,44455957,84869227,61332180,39808522,105816467,140150692,,,33295384,18391801
02/1966,44952451,85115377,62212082,40160565,105264773,142263195,,,33816155,19094926
03/1966,44339790,84054672,63389093,39603299,102161324,139945980,,,33149804,19076331
04/1966,43082698,81159586,62757303,39101326,99200361,137305737,,,32438795,18548111
05/1966,43992668,82573046,65331944,40474689,100189304,139968932,,,33510899,19045387
06/1966,41704091,78511460,62023092,37511164,94286805,131636014,,,31377539,17794420
07/1966,32647116,62445400,58001843,46933895,55374577,68527011,86224295,,58894026,26300818
08/1966,32191927,60970465,56906716,46191427,54259000,67481734,85268992,,58951822,26030646
